fold_end,test_start,test_end,selected_model,ensemble_weights,multi_agent_mape,multi_agent_rmse,multi_agent_mae,multi_agent_runtime_sec,naive_mape,naive_rmse,naive_mae,moving_avg_mape,moving_avg_rmse,moving_avg_mae,moving_avg_20_mape,moving_avg_20_rmse,moving_avg_20_mae,ewma_mape,ewma_rmse,ewma_mae,seasonal_naive_mape,seasonal_naive_rmse,seasonal_naive_mae,prophet_mape,prophet_rmse,prophet_mae,prophet_runtime_sec,trend_agent_contribution,seasonal_agent_contribution,residual_agent_contribution
2022-04-28,2022-04-29,2022-05-05,dynamic_ensemble,"{'moving_avg_3': 0.1294, 'moving_avg_5': 0.1236, 'moving_avg_10': 0.1347, 'moving_avg_20': 0.1104, 'median_5': 0.1265, 'median_20': 0.1187, 'ewma_5': 0.1266, 'ewma_10': 0.1301}",26.759309165739502,46619963.01746641,41503496.088648066,0.677981799992267,26.45044269341918,45795598.613425724,40921020.0,22.864831389972412,36752841.95562025,34159092.0,34.19229625681351,57942499.96495578,52553450.0,27.56268649658048,48789415.1357314,43018545.883018374,18.352588438441614,36680785.78643048,29070020.0,39.971456132361915,64418504.51360057,60209648.5520411,0.4442742000101134,0.0,0.0,0.0
2022-05-05,2022-05-06,2022-05-12,dynamic_ensemble,"{'moving_avg_3': 0.1118, 'moving_avg_5': 0.112, 'median_5': 0.1174, 'ewma_5': 0.1079, 'ewma_10': 0.1054, 'component_additive': 0.1485, 'component_no_residual': 0.1485, 'component_shrunk': 0.1485}",20.43513137774963,31785665.000503864,29656520.76587782,0.6396240000030957,23.063645642014254,33484633.878840603,31467920.0,7.54174580790778,11768665.83814835,10321932.0,25.1881579858453,38095435.21165232,36335540.0,9.026851246190928,16144083.255199375,13379744.392685264,13.992735886307042,26050593.807243627,18240060.0,33.690722780611424,49327739.85042579,48147829.297996335,0.4952679999987595,1374.500830642879,0.0,34860118.44980191
2022-05-12,2022-05-13,2022-05-19,dynamic_ensemble,"{'naive': 0.1004, 'moving_avg_3': 0.1109, 'moving_avg_5': 0.1251, 'moving_avg_10': 0.1009, 'median_5': 0.1276, 'ewma_5': 0.116, 'ewma_10': 0.1093, 'seasonal_naive': 0.1098, 'drift': 0.1}",44.65737378720927,42519692.82365817,40012646.57245551,0.6437570000125561,32.62474712816112,32023264.48827477,28688460.0,49.98107955142411,47252098.29690106,45058840.0,27.452335552183992,27737553.58408569,23809875.0,43.766396514079375,41699898.5527839,39197191.3279264,50.22362008349408,48891281.36009528,45058840.0,11.672382411574171,14302574.41734341,11527388.624783833,0.448388699995121,0.0,0.0,0.0
2022-05-19,2022-05-20,2022-05-26,dynamic_ensemble,"{'component_additive': 0.2896, 'component_no_residual': 0.2896, 'component_shrunk': 0.2896, 'moving_avg_5': 0.1312}",14.65868730860784,24562041.089866154,16373663.18354426,0.6477909999957774,17.853776802980654,19690224.16378239,17091880.0,16.187523402483734,19380576.262536675,15826864.0,38.548275595645634,35760918.68783051,32803099.0,28.16415880717577,25695727.046969235,24919499.855136774,16.273458687006606,18827319.736064397,16085680.0,12.974687752413045,18039980.426137675,13793903.621205032,0.44579969998449087,5992.375410284847,0.0,1681230.5439878702
2022-05-26,2022-05-27,2022-06-03,dynamic_ensemble,"{'component_additive': 0.2884, 'component_no_residual': 0.2884, 'component_shrunk': 0.2884, 'moving_avg_5': 0.1347}",7.785524718071195,8717181.014805064,6812108.05121777,0.6584951999830082,8.011523560834464,8103911.003830188,6727860.0,14.529241924359809,13434846.209212817,11372172.0,43.57739816253711,36288961.05317187,35408095.0,19.160480182431964,17101710.82978878,15143084.57732819,22.047474461526008,23786331.00143862,18641180.0,11.582373276155375,12885037.728337815,10170515.481953135,0.5080443999904674,142015.9161333572,0.0,1381907.4173040036
2022-06-03,2022-06-06,2022-06-10,dynamic_ensemble,"{'component_additive': 0.3121, 'component_no_residual': 0.3121, 'component_shrunk': 0.3121, 'moving_avg_5': 0.0636}",26.728604610416753,28154246.42668676,22488110.931994118,0.6879235000233166,24.111029097592997,29505883.873119272,21985340.0,31.402556559872295,28586252.468107812,24361496.0,52.09248585923636,37134764.6764999,35525463.0,34.984401735370476,29483499.488261994,25996963.990760636,39.494177816251934,35636602.10244518,30772000.0,24.474676738275896,22425032.100749146,18993711.453285117,0.57270309998421,101052.50184747577,0.0,19291.735536932945
2022-06-10,2022-06-13,2022-06-17,dynamic_ensemble,"{'naive': 0.3103, 'moving_avg_3': 0.2156, 'drift': 0.3092, 'moving_avg_5': 0.165}",13.830304784651773,26565663.544709902,19820604.424441885,0.6899797999940347,15.224897659033548,23411518.106180128,19315920.0,36.12538157155328,54161676.68820824,48991140.0,29.23318075946012,46493589.38532064,40352180.0,29.995005357773774,47324733.46244907,41307081.403960824,42.68238521846362,65134832.40609436,57703140.0,26.421620083974044,45174070.81329301,37108938.908058785,0.5058052999956999,0.0,0.0,0.0
2022-06-17,2022-06-21,2022-06-27,dynamic_ensemble,"{'naive': 0.4107, 'drift': 0.4098, 'moving_avg_5': 0.1795}",41.99600483984,34159379.040567726,32315859.777161837,0.671663199987961,37.96424972890454,31104988.83761253,29069240.0,60.239696379201966,48294832.293743394,47009480.0,20.75561731678825,18497011.28487789,15294406.0,38.92013900371353,31825638.372116476,29839095.85396871,60.15635326690267,53649324.920897186,47009480.0,18.79043378107545,18073809.28876862,13569019.90616836,0.4797703000076581,0.0,0.0,0.0
2022-06-27,2022-06-28,2022-07-05,dynamic_ensemble,"{'component_additive': 0.3214, 'component_no_residual': 0.3214, 'component_shrunk': 0.3214, 'moving_avg_5': 0.0357}",14.495683095844985,17711932.646493737,13256118.566395557,0.742728499986697,19.262433010807044,24083643.527132683,18326020.0,13.51530817802154,15928176.638774445,11829632.0,21.606963315048382,18434109.949959613,17038672.0,20.525751241142835,17824050.827090006,16293579.96207782,25.571828465990787,22669110.198329356,21195120.0,17.98344900637911,17514549.159582917,15455759.377917673,0.4864868999866303,-173761.12322004512,0.0,88602.01046111807
2022-07-05,2022-07-06,2022-07-12,dynamic_ensemble,"{'component_additive': 0.3134, 'component_no_residual': 0.3134, 'component_shrunk': 0.3134, 'moving_avg_5': 0.0599}",19.91084162380744,13934388.121587988,12489362.99153835,0.6947194999956992,24.949828116669423,16677182.078156969,15850800.0,29.19089267969326,19323509.562923606,18614980.0,43.97966791359359,28725554.3607086,28253795.0,33.69242198633759,22163857.49570006,21548921.960545957,27.838011450705935,22409068.739374246,18614980.0,6.248248227786825,4909176.400458868,4016767.663064456,0.43861070001730695,-153135.18605693989,0.0,-319490.8634919822
2022-07-12,2022-07-13,2022-07-19,dynamic_ensemble,"{'median_20': 0.1808, 'component_additive': 0.2462, 'component_no_residual': 0.2462, 'component_shrunk': 0.2462, 'moving_avg_5': 0.0805}",18.516413734061597,17280213.022708792,15378013.547983319,0.6947838999913074,20.07444514959563,18918513.42764542,16720680.0,17.25650056874837,16019459.224081192,14306120.0,15.897456192994305,14339325.56771151,11282165.0,12.478247821131934,10704133.642648699,9906963.785204908,16.255442221276688,15214575.956365002,13352680.0,14.246412560326641,14056315.40173564,11803836.605159782,0.46225260000210255,-88829.71471358836,0.0,3610304.1357793733
2022-07-19,2022-07-20,2022-07-26,dynamic_ensemble,"{'component_weighted': 0.8746, 'moving_avg_5': 0.1254}",22.084031640411155,15094874.086138807,12527673.725612517,0.6599234000022989,26.72469546437538,17556968.026114304,15401420.0,27.425066275117015,17938787.984242413,15835300.0,25.413122469206673,16848720.76638461,14588900.0,22.404799903326413,15263525.036557283,12725242.955952197,26.214617773809735,17665725.242004644,15835300.0,22.93184266603677,15341047.727954114,13283806.689073723,0.47969420001027174,-111736.78060698323,0.0,8637420.140571252
2022-07-26,2022-07-27,2022-08-02,dynamic_ensemble,"{'naive': 0.088, 'moving_avg_3': 0.0875, 'moving_avg_5': 0.091, 'moving_avg_10': 0.0893, 'median_5': 0.0996, 'median_20': 0.0983, 'ewma_5': 0.1063, 'ewma_10': 0.0866, 'seasonal_naive': 0.0781, 'drift': 0.0879, 'component_weighted': 0.0873}",14.963724627241074,14341896.337816844,12015032.27657169,0.6617044000013266,28.831430698950477,23944163.3891435,22402660.0,15.177185324335102,14878544.142516095,12244480.0,9.628893054997597,8784005.560699515,7384208.0,12.537023275910736,12228523.897603469,10067679.018102273,16.387185918775245,12565360.258583914,12244480.0,7.888369340215203,6416927.691058126,5542590.265014345,0.5856536999926902,140351.11210709997,0.0,2025994.295931941
2022-08-02,2022-08-03,2022-08-09,dynamic_ensemble,"{'component_weighted': 0.7566, 'moving_avg_5': 0.2434}",37.87247669348819,20485641.06482838,18694756.506226122,0.6703755000198726,23.192337898007086,12749267.211726326,11367480.0,43.25672425921595,23098499.239552338,21527060.0,34.50363871730581,18881747.169909887,16923180.0,34.983149279502186,19108122.633018862,17175389.24398768,41.52677540509243,22475115.70875665,21527060.0,44.64823861256681,24072232.661750503,22534311.095108114,0.49812060000840575,46834.46356085315,0.0,3887470.9279168732
2022-08-09,2022-08-10,2022-08-16,dynamic_ensemble,"{'moving_avg_10': 0.3416, 'median_20': 0.2555, 'ewma_10': 0.2454, 'moving_avg_5': 0.1575}",7.467756095191734,5155105.712077824,4433681.647221622,0.7181863999867346,25.45782985703657,16404013.758833537,15705640.0,10.708925940323391,8299081.996462018,6815440.0,12.989148807953582,8589668.32095396,7511168.0,5.595627762824683,4947608.718331337,3495624.184382987,11.381739413312983,9187326.55847173,6815440.0,17.734215821420683,11878240.054829234,10461955.482682796,0.59179989999393,0.0,0.0,0.0
2022-08-16,2022-08-17,2022-08-23,dynamic_ensemble,"{'component_weighted': 0.8775, 'moving_avg_5': 0.1225}",16.828274680707324,11157978.933130596,9752018.291117769,0.7579602999903727,16.98533597979079,11334426.22641305,10371700.0,16.916771936689862,11152413.412297806,10102012.0,16.78503616810752,11256927.17088016,9583846.0,16.97180864151916,11285997.910448816,10318491.924180605,17.969421112571727,12949582.302375626,11144460.0,23.214712571259668,14238913.92076128,12925676.94399944,0.47069779998855665,-111552.36167292297,0.0,437677.0561379399
2022-08-23,2022-08-24,2022-08-30,dynamic_ensemble,"{'moving_avg_10': 0.1162, 'moving_avg_20': 0.099, 'median_20': 0.0935, 'ewma_5': 0.0878, 'ewma_10': 0.107, 'component_additive': 0.1047, 'component_no_residual': 0.1047, 'component_shrunk': 0.1047, 'component_weighted': 0.1109, 'moving_avg_5': 0.0715}",24.43789705019229,23214355.443258252,18832443.41682642,0.7302031999861356,24.7340825481105,30058883.91011882,21740860.0,24.047211711377173,22772318.27070753,18501848.0,24.135519740356898,22254248.830746904,18233552.0,23.993266160765817,23121402.733504444,18665744.483864993,25.712443464856293,24199747.391491506,20049360.0,27.068612979143005,18423670.2678496,17351961.769348785,0.5724265000026207,-342162.7698741518,0.0,472214.72067243606
2022-08-30,2022-08-31,2022-09-07,dynamic_ensemble,"{'naive': 0.0886, 'moving_avg_3': 0.0742, 'moving_avg_5': 0.0723, 'moving_avg_10': 0.0995, 'moving_avg_20': 0.0867, 'median_5': 0.0769, 'median_20': 0.0831, 'ewma_5': 0.0913, 'ewma_10': 0.0977, 'seasonal_naive': 0.0708, 'drift': 0.0881, 'component_weighted': 0.0709}",10.891725415890223,12771265.4157701,9553448.04210412,0.6794964000000618,13.585535642423741,11250081.803347033,10843580.0,10.691794474685498,13794025.272617128,9554640.0,22.225572742774073,21185554.479033586,18704110.0,12.809650573313608,15006735.94396828,11234684.508253425,21.89755084620161,19226846.06096382,16811880.0,5.128261810988464,6766421.997461431,4566829.940078253,0.49556499999016523,-127570.46708634496,0.0,7780200.232291935
